lsoa,60plus_perc,females_perc,employment_score,crime_score,outdoor_environment_score,lvl_4plus_perc
E01000116,20.52302444570779,51.513387660069846,0.066,0.274,0.604,32.958801498127336
E01000117,24.20937840785169,51.126992853216066,0.07,0.4,0.413,33.288948069241016
E01000118,18.405215646940825,50.67148760330578,0.078,0.412,0.521,33.73015873015873
E01000119,23.368920521945434,51.66666666666667,0.06,1.097,0.906,39.88183161004432
E01000120,25.60483870967742,50.664893617021285,0.063,0.267,0.575,38.3711167086482
E01000121,17.845117845117844,54.70941883767535,0.21600000000000005,0.539,0.514,21.86379928315413
E01000122,19.690860215053767,51.18966689326988,0.064,-0.257,0.4370000000000001,39.98294970161978
E01000123,15.537383177570096,49.459134615384606,0.066,-0.093,0.414,33.87694588584137
E01000124,14.650455927051674,52.06662553979026,0.13699999999999998,0.773,0.871,32.05629397967161
E01000125,12.578616352201259,51.961137099676144,0.12,0.985,1.019,25.78347578347579
E01000126,8.325952170062003,53.654024051803894,0.17,0.13,0.505,28.43264248704663
E01000127,12.392880685563615,53.68770764119601,0.166,0.613,0.696,24.759405074365702
E01000128,13.49036402569593,51.68539325842697,0.11,1.083,0.882,22.87581699346405
E01000129,16.13265879707701,52.91806958473625,0.135,1.204,1.28,19.333816075307745
E01000130,11.550151975683892,54.08608858390518,0.156,0.894,0.6890000000000001,25.904605263157894
E01000131,17.059791552386177,50.83056478405315,0.093,1.017,0.71,29.608938547486037
E01000132,11.42080217539089,53.179972936400546,0.132,0.913,0.637,20.242537313432837
E01000133,14.241293532338311,53.529044347282955,0.203,0.614,1.042,20.905349794238685
E01000134,12.605548854041011,52.57352941176471,0.126,0.041,0.615,27.05506783719075
E01000135,23.71198013656114,52.62148337595908,0.066,0.547,1.108,49.806651198762566
E01000136,27.12833545108005,51.76240208877284,0.029,0.463,1.128,56.3709677419355
E01000137,18.68377021751255,52.80508964719491,0.162,0.431,1.1909999999999998,33.0804248861912
E01000138,17.402768622280814,52.38095238095239,0.155,1.247,1.247,34.144222415291054
E01000139,19.05084745762712,50.9447165850245,0.053,0.601,1.366,46.82472480948349
E01000140,15.252225519287837,52.54445125689761,0.076,0.037000000000000005,0.7440000000000001,47.46247319513939
E01000141,8.124144226380649,50.903041825095045,0.111,1.6780000000000002,1.813,36.92217671152721
E01000142,13.274706867671693,51.028979420411595,0.1,0.004,0.875,40.19864087820178
E01000143,13.216453135536074,50.44551062371489,0.179,0.8640000000000001,1.095,30.026338893766464
E01000144,13.03538175046555,49.674902470741216,0.08900000000000001,1.296,1.46,55.52959501557633
E01000145,17.866161616161612,50.494396835860265,0.06,0.557,1.222,43.38103756708407
E01000146,15.002885170225046,50.93240093240093,0.079,1.083,1.386,51.0958904109589
E01000147,18.997214484679667,49.596309111880046,0.046,0.451,0.918,30.434782608695656
E01000148,13.40782122905028,48.47837693539776,0.15,0.48,0.916,29.927007299270077
E01000150,16.348903717826502,51.165048543689316,0.08199999999999999,0.299,0.7759999999999999,32.89236319903788
E01000151,7.837528604118992,50.905902980713044,0.187,0.5720000000000001,0.642,25.366695427092324
E01000152,7.679083094555874,54.13533834586466,0.163,0.657,0.687,22.907488986784138
E01000153,14.327146171693736,54.38027255029203,0.22,1.273,0.5379999999999999,22.731201382886766
E01000154,15.668580803937655,51.17647058823529,0.162,0.639,0.627,25.728155339805824
E01000155,7.6727642276422765,48.61702127659574,0.091,0.019,0.494,37.794216543375924
E01000156,13.998970663921769,51.84,0.056,0.579,0.639,50.62872270019854
E01000157,12.771392081736911,51.8494484101233,0.079,0.411,0.847,45.26315789473684
E01000158,15.236194278110444,52.44897959183673,0.115,0.845,0.6559999999999999,39.03281519861831
E01000159,20.599666851749028,52.054023635340464,0.105,1.171,0.667,38.29022988505747
E01000160,11.685912240184756,48.71421639980592,0.06,0.7020000000000001,0.6659999999999999,50.67926757235678
E01000161,17.209302325581394,48.105436573311366,0.064,1.243,0.8370000000000001,39.74193548387097
E01000162,19.97526283240569,50.906816760475294,0.108,0.8340000000000001,1.09,31.680867544539108
E01000163,11.035337879727216,51.02695763799743,0.192,0.332,0.529,30.99041533546325
E01000164,11.900635470826114,51.24555160142349,0.138,1.533,1.324,33.979829325058176
E01000165,13.522180652057722,49.03329752953814,0.062,0.718,0.887,41.10885733603787
E01000166,22.94081757169005,52.59165613147914,0.106,-0.004,0.28,36.78343949044586
E01000167,17.660377358490567,50.803366488140774,0.16699999999999998,0.601,0.398,25.190114068441066
E01000168,27.76365946632783,49.61636828644501,0.058,0.071,0.132,39.10658307210032
E01000169,18.754055807916934,50.469798657718115,0.091,0.261,0.146,41.17161716171617
E01000170,20.23370233702337,52.689486552567224,0.147,0.221,0.322,31.521739130434785
E01000171,9.714285714285714,49.75662520281233,0.124,0.619,0.667,39.46815955213436
E01000172,21.2603062426384,50.74537865235539,0.053,0.373,0.358,41.387195121951216
E01000173,18.96551724137931,51.076207097149506,0.07200000000000001,-0.066,0.114,36.160714285714285
E01000174,17.330342120022436,52.314814814814824,0.109,0.056,0.233,31.50584795321637
E01000175,22.101910828025478,51.48264984227129,0.071,0.313,0.355,40.764331210191095
E01000176,21.814791796146675,53.6887786732796,0.162,0.337,0.8109999999999999,31.143740340030913
